County/City,Democratic,Republican,Total Votes Cast,Year,Rep Share
Amelia County,1432,2336,3804,1984,61.409043112513146
Amherst County,3409,7004,10530,1984,66.51471984805318
Appomattox County,1498,3386,4932,1984,68.6536901865369
Arlington County,37031,34848,72242,1984,48.23786716868304
Augusta County,3899,15308,19323,1984,79.2216529524401
Bath County,727,1434,2175,1984,65.93103448275862
Bedford County,4754,10371,15217,1984,68.15403824669777
Bedford City,997,1553,2573,1984,60.357559269335404
Bland County,867,1812,2693,1984,67.28555514296323
Botetourt County,3243,5959,9289,1984,64.15114651738615
Bristol City,2429,5012,7468,1984,67.11301553294055
Brunswick County,3040,2950,6073,1984,48.5756627696361
Buchanan County,7828,5053,13053,1984,38.71140733930897
Buckingham County,1879,2627,4580,1984,57.35807860262009
Buena Vista City,724,1335,2073,1984,64.39942112879885
Campbell County,4380,13388,17924,1984,74.69314885070297
Caroline County,3111,2949,6138,1984,48.04496578690127
Carroll County,2914,7056,10042,1984,70.26488747261502
Charles City County,1776,776,2584,1984,30.03095975232198
Charlotte County,1811,2999,4856,1984,61.758649093904445
Charlottesville City,7317,6947,14306,1984,48.560044736474204
Chesapeake City,16740,27542,44684,1984,61.63727508727956
Chesterfield County (CD 3),12566,52994,65723,1984,80.63235092737702
Chesterfield County (CD 4),1173,1902,3088,1984,61.59326424870466
Clarke County,1215,2529,3763,1984,67.20701567897953
Clifton Forge City,896,965,1876,1984,51.43923240938166
Colonial Heights City,1218,6387,7630,1984,83.70904325032765
Covington City,1391,1722,3162,1984,54.45920303605313
Craig County,845,1173,2033,1984,57.697983275946875
Culpeper County,2255,5596,7926,1984,70.6030784759021
Cumberland County,1237,2027,3329,1984,60.88915590267347
Danville City,5846,12141,18161,1984,66.85204559220307
Dickenson County,4848,3921,8844,1984,44.335142469470824
Dinwiddie County,3485,4547,8114,1984,56.03894503327582
Emporia City,807,1252,2078,1984,60.2502406159769
Essex County,1300,2120,3440,1984,61.627906976744185
Fairfax City,3263,6234,9538,1984,65.35961417487943
Fairfax County (CD 10),55992,92976,149389,1984,62.237514140934074
Fairfax County (CD 8),51303,90205,141909,1984,63.565383449957366
Falls Church City,2398,2684,5101,1984,52.617133895314645
Fauquier County,4056,10319,14451,1984,71.40682305722787
Floyd County,1599,3431,5069,1984,67.68593410929178
Fluvanna County,1332,2247,3612,1984,62.2093023255814
Franklin County,4903,7684,12762,1984,60.20999843284751
Franklin City,1537,1561,3130,1984,49.87220447284345
Frederick County,2671,9542,12267,1984,77.78592973017038
Fredericksburg City,2439,3500,5973,1984,58.597019922986775
Galax City,814,1548,2375,1984,65.17894736842105
Giles County,3047,4340,7460,1984,58.1769436997319
Gloucester County,2830,7109,10025,1984,70.91271820448878
Goochland County,2178,3404,5617,1984,60.601744703578426
Grayson County,2319,4508,6890,1984,65.42815674891146
Greene County,760,2216,3000,1984,73.86666666666666
Greensville County,2352,2304,4772,1984,48.28164291701593
Halifax County,4231,6726,11103,1984,60.57822210213456
