71,2001/01/10,BURGLARY
113,2001/01/10,CRIMINAL DAMAGE
40,2001/01/10,CRIMINAL TRESPASS
1,2001/01/10,CRIM SEXUAL ASSAULT
57,2001/01/10,DECEPTIVE PRACTICE
2,2001/01/10,GAMBLING
2,2001/01/10,HOMICIDE
1,2001/01/10,INTERFERENCE WITH PUBLIC OFFICER
3,2001/01/10,INTIMIDATION
3,2001/01/10,KIDNAPPING
1,2001/01/10,LIQUOR LAW VIOLATION
62,2001/01/10,MOTOR VEHICLE THEFT
145,2001/01/10,NARCOTICS
6,2001/01/10,OFFENSE INVOLVING CHILDREN
101,2001/01/10,OTHER OFFENSE
27,2001/01/10,PROSTITUTION
7,2001/01/10,PUBLIC PEACE VIOLATION
41,2001/01/10,ROBBERY
5,2001/01/10,SEX OFFENSE
255,2001/01/10,THEFT
5,2001/01/10,WEAPONS VIOLATION
2,2001/01/11,ARSON
89,2001/01/11,ASSAULT
222,2001/01/11,BATTERY
62,2001/01/11,BURGLARY
111,2001/01/11,CRIMINAL DAMAGE
37,2001/01/11,CRIMINAL TRESPASS
4,2001/01/11,CRIM SEXUAL ASSAULT
38,2001/01/11,DECEPTIVE PRACTICE
1,2001/01/11,DOMESTIC VIOLENCE
5,2001/01/11,HOMICIDE
2,2001/01/11,INTERFERENCE WITH PUBLIC OFFICER
1,2001/01/11,INTIMIDATION
1,2001/01/11,KIDNAPPING
5,2001/01/11,LIQUOR LAW VIOLATION
59,2001/01/11,MOTOR VEHICLE THEFT
160,2001/01/11,NARCOTICS
1,2001/01/11,OBSCENITY
4,2001/01/11,OFFENSE INVOLVING CHILDREN
87,2001/01/11,OTHER OFFENSE
25,2001/01/11,PROSTITUTION
1,2001/01/11,PUBLIC PEACE VIOLATION
34,2001/01/11,ROBBERY
5,2001/01/11,SEX OFFENSE
257,2001/01/11,THEFT
14,2001/01/11,WEAPONS VIOLATION
4,2001/01/12,ARSON
78,2001/01/12,ASSAULT
239,2001/01/12,BATTERY
69,2001/01/12,BURGLARY
150,2001/01/12,CRIMINAL DAMAGE
35,2001/01/12,CRIMINAL TRESPASS
5,2001/01/12,CRIM SEXUAL ASSAULT
49,2001/01/12,DECEPTIVE PRACTICE
3,2001/01/12,GAMBLING
1,2001/01/12,HOMICIDE
2,2001/01/12,KIDNAPPING
7,2001/01/12,LIQUOR LAW VIOLATION
53,2001/01/12,MOTOR VEHICLE THEFT
152,2001/01/12,NARCOTICS
1,2001/01/12,OBSCENITY
1,2001/01/12,OFFENSE INVOLVING CHILDREN
103,2001/01/12,OTHER OFFENSE
31,2001/01/12,PROSTITUTION
10,2001/01/12,PUBLIC PEACE VIOLATION
45,2001/01/12,ROBBERY
8,2001/01/12,SEX OFFENSE
1,2001/01/12,STALKING
290,2001/01/12,THEFT
16,2001/01/12,WEAPONS VIOLATION
5,2001/01/13,ARSON
79,2001/01/13,ASSAULT
251,2001/01/13,BATTERY
53,2001/01/13,BURGLARY
154,2001/01/13,CRIMINAL DAMAGE
41,2001/01/13,CRIMINAL TRESPASS
9,2001/01/13,CRIM SEXUAL ASSAULT
24,2001/01/13,DECEPTIVE PRACTICE
1,2001/01/13,GAMBLING
1,2001/01/13,HOMICIDE
2,2001/01/13,INTERFERENCE WITH PUBLIC OFFICER
2,2001/01/13,INTIMIDATION
2,2001/01/13,KIDNAPPING
4,2001/01/13,LIQUOR LAW VIOLATION
61,2001/01/13,MOTOR VEHICLE THEFT
175,2001/01/13,NARCOTICS
4,2001/01/13,OFFENSE INVOLVING CHILDREN
89,2001/01/13,OTHER OFFENSE
18,2001/01/13,PROSTITUTION
4,2001/01/13,PUBLIC PEACE VIOLATION
45,2001/01/13,ROBBERY
9,2001/01/13,SEX OFFENSE
268,2001/01/13,THEFT
9,2001/01/13,WEAPONS VIOLATION
1,2001/01/14,ARSON
72,2001/01/14,ASSAULT
249,2001/01/14,BATTERY
44,2001/01/14,BURGLARY
134,2001/01/14,CRIMINAL DAMAGE
34,2001/01/14,CRIMINAL TRESPASS
5,2001/01/14,CRIM SEXUAL ASSAULT
26,2001/01/14,DECEPTIVE PRACTICE
1,2001/01/14,GAMBLING
2,2001/01/14,HOMICIDE
2,2001/01/14,INTERFERENCE WITH PUBLIC OFFICER
2,2001/01/14,KIDNAPPING
5,2001/01/14,LIQUOR LAW VIOLATION
59,2001/01/14,MOTOR VEHICLE THEFT
128,2001/01/14,NARCOTICS
3,2001/01/14,OFFENSE INVOLVING CHILDREN
73,2001/01/14,OTHER OFFENSE
10,2001/01/14,PROSTITUTION
2,2001/01/14,PUBLIC PEACE VIOLATION
1,2001/01/14,RITUALISM
45,2001/01/14,ROBBERY
4,2001/01/14,SEX OFFENSE
208,2001/01/14,THEFT
8,2001/01/14,WEAPONS VIOLATION
1,2001/01/15,ARSON
62,2001/01/15,ASSAULT
203,2001/01/15,BATTERY
71,2001/01/15,BURGLARY
130,2001/01/15,CRIMINAL DAMAGE
42,2001/01/15,CRIMINAL TRESPASS
3,2001/01/15,CRIM SEXUAL ASSAULT
53,2001/01/15,DECEPTIVE PRACTICE
1,2001/01/15,GAMBLING
1,2001/01/15,HOMICIDE
3,2001/01/15,INTERFERENCE WITH PUBLIC OFFICER
1,2001/01/15,INTIMIDATION
6,2001/01/15,LIQUOR LAW VIOLATION
62,2001/01/15,MOTOR VEHICLE THEFT
167,2001/01/15,NARCOTICS
6,2001/01/15,OFFENSE INVOLVING CHILDREN
104,2001/01/15,OTHER OFFENSE
13,2001/01/15,PROSTITUTION
7,2001/01/15,PUBLIC PEACE VIOLATION
48,2001/01/15,ROBBERY
4,2001/01/15,SEX OFFENSE
313,2001/01/15,THEFT
11,2001/01/15,WEAPONS VIOLATION
58,2001/01/16,ASSAULT
219,2001/01/16,BATTERY
65,2001/01/16,BURGLARY
124,2001/01/16,CRIMINAL DAMAGE
50,2001/01/16,CRIMINAL TRESPASS
8,2001/01/16,CRIM SEXUAL ASSAULT
37,2001/01/16,DECEPTIVE PRACTICE
4,2001/01/16,GAMBLING
3,2001/01/16,HOMICIDE
1,2001/01/16,INTERFERENCE WITH PUBLIC OFFICER
1,2001/01/16,INTIMIDATION
3,2001/01/16,KIDNAPPING
1,2001/01/16,LIQUOR LAW VIOLATION
58,2001/01/16,MOTOR VEHICLE THEFT
149,2001/01/16,NARCOTICS
3,2001/01/16,OFFENSE INVOLVING CHILDREN
87,2001/01/16,OTHER OFFENSE
23,2001/01/16,PROSTITUTION
7,2001/01/16,PUBLIC PEACE VIOLATION
56,2001/01/16,ROBBERY
10,2001/01/16,SEX OFFENSE
270,2001/01/16,THEFT
14,2001/01/16,WEAPONS VIOLATION
3,2001/01/17,ARSON
72,2001/01/17,ASSAULT
205,2001/01/17,BATTERY
76,2001/01/17,BURGLARY
126,2001/01/17,CRIMINAL DAMAGE
37,2001/01/17,CRIMINAL TRESPASS
4,2001/01/17,CRIM SEXUAL ASSAULT
56,2001/01/17,DECEPTIVE PRACTICE
1,2001/01/17,GAMBLING
1,2001/01/17,INTERFERENCE WITH PUBLIC OFFICER
1,2001/01/17,INTIMIDATION
2,2001/01/17,KIDNAPPING
2,2001/01/17,LIQUOR LAW VIOLATION
66,2001/01/17,MOTOR VEHICLE THEFT
156,2001/01/17,NARCOTICS
5,2001/01/17,OFFENSE INVOLVING CHILDREN
93,2001/01/17,OTHER OFFENSE
23,2001/01/17,PROSTITUTION
5,2001/01/17,PUBLIC PEACE VIOLATION
48,2001/01/17,ROBBERY
6,2001/01/17,SEX OFFENSE
1,2001/01/17,STALKING
281,2001/01/17,THEFT
18,2001/01/17,WEAPONS VIOLATION
2,2001/01/18,ARSON
69,2001/01/18,ASSAULT
232,2001/01/18,BATTERY
69,2001/01/18,BURGLARY
115,2001/01/18,CRIMINAL DAMAGE
41,2001/01/18,CRIMINAL TRESPASS
9,2001/01/18,CRIM SEXUAL ASSAULT
40,2001/01/18,DECEPTIVE PRACTICE
1,2001/01/18,GAMBLING
1,2001/01/18,HOMICIDE
7,2001/01/18,KIDNAPPING
3,2001/01/18,LIQUOR LAW VIOLATION
77,2001/01/18,MOTOR VEHICLE THEFT
161,2001/01/18,NARCOTICS
4,2001/01/18,OFFENSE INVOLVING CHILDREN
89,2001/01/18,OTHER OFFENSE
24,2001/01/18,PROSTITUTION
5,2001/01/18,PUBLIC PEACE VIOLATION
55,2001/01/18,ROBBERY
2,2001/01/18,SEX OFFENSE
3,2001/01/18,STALKING
255,2001/01/18,THEFT
14,2001/01/18,WEAPONS VIOLATION
2,2001/01/19,ARSON
47,2001/01/19,ASSAULT
200,2001/01/19,BATTERY
65,2001/01/19,BURGLARY
141,2001/01/19,CRIMINAL DAMAGE
36,2001/01/19,CRIMINAL TRESPASS
1,2001/01/19,CRIM SEXUAL ASSAULT
46,2001/01/19,DECEPTIVE PRACTICE
4,2001/01/19,GAMBLING
1,2001/01/19,HOMICIDE
5,2001/01/19,KIDNAPPING
2,2001/01/19,LIQUOR LAW VIOLATION
78,2001/01/19,MOTOR VEHICLE THEFT
145,2001/01/19,NARCOTICS
3,2001/01/19,OFFENSE INVOLVING CHILDREN
69,2001/01/19,OTHER OFFENSE
26,2001/01/19,PROSTITUTION
4,2001/01/19,PUBLIC PEACE VIOLATION
51,2001/01/19,ROBBERY
3,2001/01/19,SEX OFFENSE
1,2001/01/19,STALKING
279,2001/01/19,THEFT
5,2001/01/19,WEAPONS VIOLATION
6,2001/01/20,ARSON
53,2001/01/20,ASSAULT
239,2001/01/20,BATTERY
53,2001/01/20,BURGLARY
143,2001/01/20,CRIMINAL DAMAGE
33,2001/01/20,CRIMINAL TRESPASS
3,2001/01/20,CRIM SEXUAL ASSAULT
40,2001/01/20,DECEPTIVE PRACTICE
2,2001/01/20,HOMICIDE
1,2001/01/20,INTERFERENCE WITH PUBLIC OFFICER
1,2001/01/20,INTIMIDATION
2,2001/01/20,LIQUOR LAW VIOLATION
77,2001/01/20,MOTOR VEHICLE THEFT
153,2001/01/20,NARCOTICS
9,2001/01/20,OFFENSE INVOLVING CHILDREN
104,2001/01/20,OTHER OFFENSE
17,2001/01/20,PROSTITUTION
7,2001/01/20,PUBLIC PEACE VIOLATION
51,2001/01/20,ROBBERY
4,2001/01/20,SEX OFFENSE
1,2001/01/20,STALKING
243,2001/01/20,THEFT
14,2001/01/20,WEAPONS VIOLATION
51,2001/01/21,ASSAULT
222,2001/01/21,BATTERY
38,2001/01/21,BURGLARY
121,2001/01/21,CRIMINAL DAMAGE
38,2001/01/21,CRIMINAL TRESPASS
2,2001/01/21,CRIM SEXUAL ASSAULT
16,2001/01/21,DECEPTIVE PRACTICE
2,2001/01/21,GAMBLING
3,2001/01/21,HOMICIDE
1,2001/01/21,INTERFERENCE WITH PUBLIC OFFICER
4,2001/01/21,KIDNAPPING
3,2001/01/21,LIQUOR LAW VIOLATION
55,2001/01/21,MOTOR VEHICLE THEFT
169,2001/01/21,NARCOTICS
8,2001/01/21,OFFENSE INVOLVING CHILDREN
1,2001/01/21,OTHER NARCOTIC VIOLATION
84,2001/01/21,OTHER OFFENSE
7,2001/01/21,PROSTITUTION
4,2001/01/21,PUBLIC PEACE VIOLATION
42,2001/01/21,ROBBERY
